Stock name,Sector,% change,Open price,High price,Low price,Volume,Ltp
JIOFIN,Financial Services,2.98,248,254,247.87,17828741,253.7
ADANIENT,Diversified,2.68,2390.4,2515,2375,6039537,2473
RELIANCE,Oil & Gas / Conglomerate,2.54,1433.4,1467.4,1433.4,24035700,1467.2
SHRIRAMFIN,Financial Services - NBFC,2.52,942,969,942,4018048,961
HINDUNILVR,FMCG,2.49,2268.8,2365.8,2268.8,2554255,2307
LT,Engineering & Construction,2.14,4026,4139.5,4026,2173027,4099.8
MAXHEALTH,Healthcare Services,2.04,993.05,1021,992,2605812,1013.3
GRASIM,Diversified,1.99,2805,2865.8,2805,977675,2850
ETERNAL,Energy Solutions,1.96,247,252.95,245,40885798,251.86
CIPLA,Pharmaceuticals,1.94,1320,1337.4,1313.6,1088765,1335
MARUTI,Automobiles - Passenger Vehicles,1.92,13559,13976,13435,722127,13570
BAJAJFINSV,Financial Services,1.76,1749.2,1787,1747.1,1720030,1778
BAJAJ-AUTO,Automobiles - Two Wheelers,1.57,10244,10477.5,10067,721598,10151
APOLLOHOSP,Healthcare Services,1.46,7699.5,7790,7673,328426,7748
BAJFINANCE,Financial Services - NBFC,1.39,938.1,966,938.1,7503756,950
ULTRACEMCO,Cement,1.24,11670,11798,11590,461238,11730
TATACONSUM,FMCG,1.09,1149.7,1174.4,1149.7,1313831,1157.1
HDFCBANK,Banking - Private Sector,1.01,772.6,786.6,772.6,29028060,779.5
