Stock name,Sector,% change,Open price,High price,Low price,Volume,Ltp
TMPV,Automobiles - Electric Vehicles,-2.97,358,378.4,355.5,11804909,371.3
BAJAJFINSV,Financial Services,-2.93,1950,1990,1927,1595247,1935
SHRIRAMFIN,Financial Services - NBFC,-2.9,1044,1071,1038,6717872,1048.1
EICHERMOT,Automobiles - Two Wheelers,-2.52,7800,7996.5,7715.5,494148,7809
JIOFIN,Financial Services,-2.47,246.55,252.35,243.55,18412891,249.1
RELIANCE,Oil & Gas / Conglomerate,-2.43,1375.5,1378.6,1341.5,23728722,1360
M&M,Automobiles,-2.14,3299.9,3374.9,3283,2997529,3324.8
BAJFINANCE,Financial Services - NBFC,-2.1,971,990.4,968,8493269,975
BAJAJ-AUTO,Automobiles - Two Wheelers,-2.04,9725.5,9941.5,9565,330330,9769.5
ADANIENT,Diversified,-1.75,2093,2147.9,2073.7,2134522,2124
TRENT,Retail,-1.65,3755.5,3887.6,3755,801446,3835
ETERNAL,Energy Solutions,-1.62,238,244.48,234.65,73388956,242.3
TITAN,Consumer Durables - Jewellery,-1.59,4288.8,4330,4193,770589,4258.5
ULTRACEMCO,Cement,-1.55,12375,12622,12325,237506,12481
TATACONSUM,FMCG,-1.45,1110.8,1145.8,1110.8,1368110,1124.5
